case,item_seq,item_name,ingredient_name,base,base_relation_nutrient,co_ingredient,overlap_with_relation,label,gate_to_convert,convert_tier
A,201604696,칼플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604697,애드본알정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604698,리세드렌플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604699,리세드론플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604702,위더넥스플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604705,리론트플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604712,리세드로플러스디정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604713,본넬플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201604922,악토제닉플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201605159,리세플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201605260,리드넷플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201605323,리세원플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201605330,리세드린플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201605346,리세트론플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201605347,"리조넬플러스정(리세드론산나트륨2.5수화물, 콜레칼시페롤농축물(분말형))",리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201606075,칸토넬플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201606083,리세닐플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201606189,리세론플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201606400,리세비디정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201606792,윈토넬플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201606800,리세로플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201606810,리세린플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201700405,디세든플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201700469,리드산플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201700623,리세페롤플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,201701415,지노티넬플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
A,202001703,리산드플러스정,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),리세드론산,칼슘,콜레칼시페롤(비타민D3),no(D3≠칼슘),hold,"카드 칼슘경고가 ""별도복용 칼슘제품""임을 명확화 + 복합제 고지배너",2
B,202108204,"라베뉴정10/500밀리그램(라베프라졸나트륨,탄산수소나트륨)",탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202108207,"라비에트듀오정10/500밀리그램(라베프라졸나트륨,탄산수소나트륨)",탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202108208,"라베올듀오정10/500밀리그램(라베프라졸나트륨,탄산수소나트륨)",탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202108209,"라베모어정10/500밀리그램(라베프라졸나트륨,탄산수소나트륨)",탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202108210,"라베듀엣정10/500밀리그램(라베프라졸나트륨,탄산수소나트륨)",탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202108211,"라비듀오정10/500밀리그램(라베프라졸나트륨,탄산수소나트륨)",탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202200467,라베뉴정20/500밀리그램,탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202200470,라베모어정20/500밀리그램,탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202200472,라베올듀오정20/500밀리그램,탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202200474,라비에트듀오정20/500밀리그램,탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202200475,라베듀엣정20/500밀리그램,탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202200476,라비듀오정20/500밀리그램,탄산수소나트륨/라베프라졸나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202200514,라베듀오정20/800밀리그램,라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202200614,"라베프탑정20/800밀리그램(라베프라졸나트륨, 탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202200655,라베콤비정,라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202202686,라베탄정20/800밀리그램,라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202202876,라베움듀오정20/800밀리그램,라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202202964,라베비카정20/800밀리그램,라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202302938,"라베미니정(라베프라졸,탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202302939,"라베하프정(라베프라졸,탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202302940,"라베프탑정10/400밀리그램(라베프라졸,탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202402099,"라베칸듀오정20/700밀리그램(라베프라졸나트륨,탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202402100,"라베칸듀오정10/700밀리그램(라베프라졸나트륨,탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202402101,"라베비카정20/700밀리그램(라베프라졸나트륨,탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202402102,"라베비카정10/700밀리그램(라베프라졸나트륨,탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202402103,"라베라듀오정20/700밀리그램(라베프라졸나트륨,탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
B,202501367,"라베라듀오정10/700밀리그램(라베프라졸나트륨, 탄산수소나트륨)",라베프라졸나트륨/탄산수소나트륨,라베프라졸,B12·마그네슘,탄산수소나트륨(완충제),no(영양소 아님),hold,복합제 고지배너(부분정보 명시)만,1
C,202300167,란소앤정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202300168,란탄듀오정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202300169,"란사톤듀오정30/600밀리그램(란소프라졸, 침강탄산칼슘)",란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202300170,란소듀오정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202300171,뉴란소엑스정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202300177,란스타정30/600밀리그램,란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202301789,"라베가드정20/600밀리그램(라베프라졸나트륨,침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202400481,"라베가드정10/600밀리그램(라베프라졸나트륨,침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202401498,"라베드온정10/600mg(라베프라졸나트륨, 침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202401499,"라베드온정20/600mg(라베프라졸나트륨, 침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202500561,"란소앤정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202500562,"란탄듀오정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202500563,"란사톤듀오정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202500564,"란스타정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202500565,"란소듀오정15/600밀리그램(란소프라졸,침강탄산칼슘)",침강탄산칼슘/란소프라졸,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202500566,"뉴란소엑스정15/600밀리그램(란소프라졸,침강탄산칼슘)",란소프라졸/침강탄산칼슘,란소프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202600357,"라베피드정20/600밀리그램(라베프라졸나트륨, 침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
C,202600358,"라베피드정10/600밀리그램(라베프라졸나트륨, 침강탄산칼슘)",라베프라졸나트륨/침강탄산칼슘,라베프라졸,B12·마그네슘,침강탄산칼슘(칼슘),no(칼슘≠B12/Mg),hold,PPI×칼슘(저산성 탄산칼슘 흡수↓) relation 신규 + 복합제 배너,3
D,202303032,"라스피린캡슐100/5밀리그램(아스피린,라베프라졸)",아스피린 장용펠렛/라베프라졸나트륨,라베프라졸,B12·마그네슘,아스피린(약물),no(약물),hold,복합제 고지배너(부분정보 명시)만,1
D,202401364,"라베피린캡슐100/5밀리그램(아스피린,라베프라졸)",라베프라졸나트륨/아스피린,라베프라졸,B12·마그네슘,아스피린(약물),no(약물),hold,복합제 고지배너(부분정보 명시)만,1
D,202401369,"아스프라졸캡슐100/5밀리그램(아스피린,라베프라졸)",라베프라졸나트륨/아스피린,라베프라졸,B12·마그네슘,아스피린(약물),no(약물),hold,복합제 고지배너(부분정보 명시)만,1
D,202402338,"아라텍트캡슐100/5밀리그램(아스피린,라베프라졸)",라베프라졸나트륨/아스피린,라베프라졸,B12·마그네슘,아스피린(약물),no(약물),hold,복합제 고지배너(부분정보 명시)만,1
D,202402347,"아스라베캡슐100/5밀리그램(아스피린,라베프라졸)",라베프라졸나트륨/아스피린,라베프라졸,B12·마그네슘,아스피린(약물),no(약물),hold,복합제 고지배너(부분정보 명시)만,1
D,202402348,"아스라졸캡슐100/5밀리그램(아스피린,라베프라졸)",라베프라졸나트륨/아스피린,라베프라졸,B12·마그네슘,아스피린(약물),no(약물),hold,복합제 고지배너(부분정보 명시)만,1
D,202402464,"라베트릭스캡슐100/5밀리그램(아스피린,라베프라졸)",라베프라졸나트륨/아스피린,라베프라졸,B12·마그네슘,아스피린(약물),no(약물),hold,복합제 고지배너(부분정보 명시)만,1
D,202500715,"아스베린캡슐100/5밀리그램(아스피린,라베프라졸)",라베프라졸나트륨/아스피린,라베프라졸,B12·마그네슘,아스피린(약물),no(약물),hold,복합제 고지배너(부분정보 명시)만,1
E,202303359,"라피듀오정10/350밀리그램(라베프라졸나트륨,산화마그네슘)",라베프라졸나트륨/산화마그네슘,라베프라졸,B12·마그네슘,산화마그네슘(마그네슘),YES(마그네슘 직접모순),forbidden,영구 name_only(배선해도 flip 금지),—
