priority_seed_rank,query_name,seed_category,common_brand,est_prevalence,confidence,note
37,펙소페나딘,항히스타민/알레르기약,알레그라,medium,low,2세대 항히스타민
38,베포타스틴,항히스타민/알레르기약,타리온,medium,low,2세대 항히스타민
39,에바스틴,항히스타민/알레르기약,에바스텔,low,low,2세대 항히스타민
40,올로파타딘,항히스타민/알레르기약,알레락,low,low,항히스타민
41,암로디핀,혈압약/ARB/CCB/이뇨제,노바스크,high,low,CCB 대표 혈압약
42,텔미사르탄,혈압약/ARB/CCB/이뇨제,미카르디스,high,low,ARB(HCTZ 복합제는 기존 커버)
43,발사르탄,혈압약/ARB/CCB/이뇨제,디오반,high,low,ARB
44,로사르탄,혈압약/ARB/CCB/이뇨제,코자,high,low,ARB
45,칸데사르탄,혈압약/ARB/CCB/이뇨제,아타칸,medium,low,ARB
46,올메사르탄,혈압약/ARB/CCB/이뇨제,올메텍,medium,low,ARB
47,이르베사르탄,혈압약/ARB/CCB/이뇨제,아프로벨,low,low,ARB
48,피마사르탄,혈압약/ARB/CCB/이뇨제,카나브,medium,low,국산 ARB
49,라미프릴,혈압약/ARB/CCB/이뇨제,트리테이스,medium,low,ACE 억제제
50,페린도프릴,혈압약/ARB/CCB/이뇨제,아서틸,low,low,ACE 억제제
51,히드로클로로티아지드,혈압약/ARB/CCB/이뇨제,다이크로짇,high,low,치아지드 이뇨제(기존 relation 19·20 커버)
52,클로르탈리돈,혈압약/ARB/CCB/이뇨제,해드린,low,low,치아지드 이뇨제(기존 후보 C04·칼륨 정책 승계 필요)
53,인다파미드,혈압약/ARB/CCB/이뇨제,나트릭스,low,low,치아지드 유사 이뇨제(기존 후보 C05·칼륨 정책)
54,푸로세미드,혈압약/ARB/CCB/이뇨제,라식스,medium,low,루프이뇨제(기존 relation 17·18 커버)
55,토라세미드,혈압약/ARB/CCB/이뇨제,토렘,low,low,루프이뇨제(기존 relation 30·31 커버)
56,스피로노락톤,혈압약/ARB/CCB/이뇨제,알닥톤,medium,low,칼륨보존 이뇨제(고칼륨 주의·민감)
57,카르베딜롤,혈압약/ARB/CCB/이뇨제,딜라트렌,medium,low,베타차단제
58,비소프롤롤,혈압약/ARB/CCB/이뇨제,콩코르,medium,low,베타차단제
59,네비보롤,혈압약/ARB/CCB/이뇨제,네비레트,low,low,베타차단제(인덱스 표기 네비보롤)
60,메트포르민,당뇨약,다이아벡스,high,low,비구아나이드(기존 relation 12 커버)
61,글리메피리드,당뇨약,아마릴,high,low,설포닐우레아
62,시타글립틴,당뇨약,자누비아,high,low,DPP-4 억제제
63,리나글립틴,당뇨약,트라젠타,medium,low,DPP-4 억제제
64,빌다글립틴,당뇨약,가브스,medium,low,DPP-4 억제제
65,엠파글리플로진,당뇨약,자디앙,medium,low,SGLT2 억제제
66,다파글리플로진,당뇨약,포시가,medium,low,SGLT2 억제제
67,글리클라지드,당뇨약,디아미크롱,medium,low,설포닐우레아
68,피오글리타존,당뇨약,액토스,low,low,TZD
69,아토르바스타틴,고지혈증약/스타틴,리피토,high,low,스타틴(기존 후보 C07·CoQ10 가설)
70,로수바스타틴,고지혈증약/스타틴,크레스토,high,low,스타틴(기존 후보 C06·CoQ10 가설)
71,심바스타틴,고지혈증약/스타틴,조코,medium,low,스타틴
72,프라바스타틴,고지혈증약/스타틴,메바로친,low,low,스타틴
73,피타바스타틴,고지혈증약/스타틴,리바로,medium,low,스타틴
74,에제티미브,고지혈증약/스타틴,이지트롤,medium,low,콜레스테롤 흡수억제(스타틴 복합 흔함)
75,페노피브레이트,고지혈증약/스타틴,리피딜,medium,low,피브레이트
76,레보티록신,갑상선약,씬지로이드,high,low,갑상선호르몬(기존 relation 10·11 커버)
77,메티마졸,갑상선약,안티로이드,medium,low,항갑상선제
78,프로필티오우라실,갑상선약,안티로이드,low,low,항갑상선제
79,아목시실린,항생제,곰실린,high,low,페니실린계 항생제
80,클라불란산,항생제,오구멘틴,high,low,아목시실린·클라불란산 복합(오구멘틴)·인덱스 표기 매칭용
81,세파클러,항생제,시클러,medium,low,세팔로스포린계
82,세프디니르,항생제,옴니세프,medium,low,세팔로스포린계
83,아지트로마이신,항생제,지스로맥스,medium,low,마크로라이드계
84,클래리트로마이신,항생제,클래리시드,medium,low,마크로라이드계
85,레보플록사신,항생제,크라비트,medium,low,플루오로퀴놀론(기존 relation 1-3 커버)
86,시프로플록사신,항생제,시프로바이,medium,low,플루오로퀴놀론(기존 relation 4-6 커버)
87,목시플록사신,항생제,아벨록스,low,low,플루오로퀴놀론(기존 relation 24·25 커버)
88,오플록사신,항생제,타리비드,low,low,플루오로퀴놀론(기존 relation 21-23 커버)
89,독시사이클린,항생제,바이브라마이신,medium,low,테트라사이클린(기존 relation 7-9 커버)
90,미노사이클린,항생제,미노씬,low,low,테트라사이클린(기존 relation 26-28 커버)
91,메트로니다졸,항생제,후라시닐,medium,low,니트로이미다졸계
92,클린다마이신,항생제,클린다마이신,low,low,린코사마이드계
93,알렌드론산,골다공증/여성건강/빈혈,포사맥스,medium,low,비스포스포네이트(기존 relation 29 커버)
94,리세드론산,골다공증/여성건강/빈혈,악토넬,medium,low,비스포스포네이트(알렌드론산 계열 인접)
95,이반드론산,골다공증/여성건강/빈혈,본비바,low,low,비스포스포네이트
96,졸레드론산,골다공증/여성건강/빈혈,졸레드론산주,low,low,비스포스포네이트(주사제·처방 흔치 않음 추정)
97,랄록시펜,골다공증/여성건강/빈혈,에비스타,low,low,SERM
98,건조황산제일철,골다공증/여성건강/빈혈,훼럼,medium,low,철분 보충제(흡수 상호작용 맥락)
99,탄산칼슘,골다공증/여성건강/빈혈,디카맥스,medium,low,칼슘 보충제(흡수 상호작용 맥락)
100,드로스피레논,골다공증/여성건강/빈혈,야즈,medium,low,경구피임 성분(여성건강·민감군)
101,졸피뎀,수면/진정/정신건강,스틸녹스,medium,low,수면제(민감군·신중)
102,에스시탈로프람,수면/진정/정신건강,렉사프로,medium,low,SSRI(정신건강·민감군·신중)
103,설트랄린,수면/진정/정신건강,졸로푸트,medium,low,SSRI(정신건강·민감군·신중·인덱스 표기 설트랄린)
104,알프라졸람,수면/진정/정신건강,자낙스,medium,low,벤조디아제핀(민감군·신중)
105,쿠에티아핀,수면/진정/정신건강,쎄로켈,low,low,항정신병약(민감군·신중)
106,탐스로신,기타 흔한 만성질환,하루날,medium,low,전립선비대(BPH) 알파차단제
107,두타스테리드,기타 흔한 만성질환,아보다트,medium,low,BPH/탈모 5알파환원효소억제제
108,피나스테리드,기타 흔한 만성질환,프로페시아,medium,low,탈모/BPH 적응 흔함
109,알로푸리놀,기타 흔한 만성질환,자이로릭,medium,low,통풍 요산저하제
110,페북소스타트,기타 흔한 만성질환,페브릭,medium,low,통풍 요산저하제
111,클로피도그렐,기타 흔한 만성질환,플라빅스,medium,low,항혈소판제(민감·출혈주의)
112,리바록사반,기타 흔한 만성질환,자렐토,medium,low,DOAC 항응고제(민감·출혈주의)
113,프레가발린,기타 흔한 만성질환,리리카,medium,low,신경병성 통증
114,가바펜틴,기타 흔한 만성질환,뉴론틴,medium,low,신경병성 통증
115,몬테루카스트,기타 흔한 만성질환,싱귤레어,medium,low,류코트리엔 길항제(천식/알레르기)
116,우르소데옥시콜산,기타 흔한 만성질환,우루사,medium,low,간기능/담즙
117,실로스타졸,기타 흔한 만성질환,프레탈,low,low,말초혈관 항혈소판
118,도네페질,기타 흔한 만성질환,아리셉트,medium,low,치매 인지개선
119,콜린알포세레이트,기타 흔한 만성질환,글리아티린,medium,low,인지기능(국내 처방 흔함)
120,레보설피리드,기타 흔한 만성질환,레보프라이드,low,low,위장운동/소화
