candidate_id,track,ingredient,nutrient,precheck_class,precheck_reason,risk_level
KPI-r14,kpi_scan,에페리손염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r15,kpi_scan,가바펜틴,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r16,kpi_scan,글리메피리드,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r17,kpi_scan,록소프로펜나트륨수화물,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r18,kpi_scan,세파클러수화물,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r20,kpi_scan,사르포그렐레이트염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r21,kpi_scan,레보드로프로피진,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r22,kpi_scan,솔리페나신숙신산염,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r23,kpi_scan,토피라메이트,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r24,kpi_scan,테르비나핀염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r27,kpi_scan,플루옥세틴염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r28,kpi_scan,메만틴염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r29,kpi_scan,에르도스테인,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r30,kpi_scan,파모티딘,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r31,kpi_scan,로수바스타틴칼슘,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r32,kpi_scan,실로스타졸,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r34,kpi_scan,로사르탄칼륨,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r35,kpi_scan,오셀타미비르인산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r36,kpi_scan,올로파타딘염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r37,kpi_scan,아세트아미노펜/트라마돌염산염,,rejected_precheck,복합제(2성분 이상) — 단일 성분-영양소 모델 부적합·조성 트랩.,
KPI-r38,kpi_scan,덱시부프로펜,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r39,kpi_scan,멜록시캄,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r40,kpi_scan,레보세티리진염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r41,kpi_scan,콜린알포세레이트,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r42,kpi_scan,베포타스틴베실산염,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r43,kpi_scan,이부프로펜,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r44,kpi_scan,두타스테리드,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r46,kpi_scan,트라마돌염산염/아세트아미노펜,,rejected_precheck,복합제(2성분 이상) — 단일 성분-영양소 모델 부적합·조성 트랩.,
KPI-r47,kpi_scan,피오글리타존염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
KPI-r48,kpi_scan,발사르탄,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r49,kpi_scan,모메타손푸로에이트,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r50,kpi_scan,레보설피리드,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r52,kpi_scan,아토르바스타틴칼슘삼수화물,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r53,kpi_scan,아세틸시스테인,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r54,kpi_scan,세프트리악손나트륨수화물,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r55,kpi_scan,실데나필시트르산염,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r56,kpi_scan,다파글리플로진프로판디올수화물,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r57,kpi_scan,카르베딜롤,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r58,kpi_scan,시타글립틴염산염수화물,,rejected_precheck,허가사항 6대 영양소 직접 동거어 개연 낮음(품목수만으로 후보화 금지·계열 일반화 금지). grounded theme map 부재 — 후보 아님.,
KPI-r60,kpi_scan,에피나스틴염산염,,rejected_precheck,짝이온염 트랩 — 약물 염의 양이온(나트륨/칼륨/칼슘/Mg)을 영양소로 오인 방지.,
